"stime";"flgs";"proto";"saddr";"sport";"dir";"daddr";"dport";"pkts";"bytes";"state";"srcid";"ltime";"seq";"dur";"mean";"stddev";"smac";"dmac";"sum";"min";"max";"soui";"doui";"sco";"dco";"spkts";"dpkts";"sbytes";"dbytes";"rate";"srate";"drate";"record";"attack";"category";"subcategory"
1529283982.483604;"e";"udp";"192.168.100.6";"138";"->";"192.168.100.255";"138";4;986;"INT";"0.0.0.0";1529285062.862481;15;1080.378906;0.0;0.0;"";"";0.0;0.0;0.0;"";"";"";"";4;0;986;0;0.002777;0.002777;0.0;"";0;"Normal";"Normal"
1529283952.847683;"e";"tcp";"192.168.100.3";"60864";"<?>";"172.217.25.138";"443";12;1053;"FIN";"0.0.0.0";1529284064.89525;12;112.047569;0.024268;0.015937;"";"";0.072805;0.005787;0.044681;"";"";"";"";8;4;697;356;0.098173;0.062473;0.026774;"";0;"Normal";"Normal"
1529284103.643194;"e";"udp";"192.168.100.7";"138";"->";"192.168.100.255";"138";4;1086;"INT";"0.0.0.0";1529284834.91526;23;731.272095;0.000104;4e-06;"";"";0.000209;0.000101;0.000108;"";"";"";"";4;0;1086;0;0.004102;0.004102;0.0;"";0;"Normal";"Normal"
1529283912.925518;"e";"arp";"192.168.100.149";"";"who";"192.168.100.6";"";26;1560;"CON";"0.0.0.0";1529285075.905578;10;1162.980103;0.000121;2.7e-05;"";"";0.001569;8.2e-05;0.000164;"";"";"";"";13;13;780;780;0.021496;0.010318;0.010318;"";1;"Theft";"Data_Exfiltration"
1529284203.632861;"e";"tcp";"192.168.100.150";"36682";"->";"192.168.100.3";"22";28;5098;"FIN";"0.0.0.0";1529284204.122459;30;0.489598;0.489598;0.0;"";"";0.489598;0.489598;0.489598;"";"";"";"";13;15;1640;3458;55.147282;24.509903;28.594887;"";1;"Theft";"Data_Exfiltration"
1529284204.308714;"e";"tcp";"192.168.100.150";"36684";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284207.515759;31;3.207045;3.207045;0.0;"";"";3.207045;3.207045;3.207045;"";"";"";"";14;17;1802;3670;9.354405;4.053576;4.989016;"";1;"Theft";"Data_Exfiltration"
1529284204.308719;"e";"tcp";"192.168.100.150";"36686";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.047253;32;2.738534;2.738534;0.0;"";"";2.738534;2.738534;2.738534;"";"";"";"";15;17;1868;3670;11.319925;5.112224;5.842542;"";1;"Theft";"Data_Exfiltration"
1529284204.308822;"e";"tcp";"192.168.100.150";"36688";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284207.047932;33;2.73911;2.73911;0.0;"";"";2.73911;2.73911;2.73911;"";"";"";"";14;17;1802;3670;10.952463;4.746067;5.841313;"";1;"Theft";"Data_Exfiltration"
1529284204.308888;"e";"tcp";"192.168.100.150";"36690";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.04985;34;2.740962;2.740962;0.0;"";"";2.740962;2.740962;2.740962;"";"";"";"";15;17;1868;3670;11.309897;5.107696;5.837367;"";1;"Theft";"Data_Exfiltration"
1529284204.30894;"e";"tcp";"192.168.100.150";"36692";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284207.051009;35;2.742069;2.742069;0.0;"";"";2.742069;2.742069;2.742069;"";"";"";"";14;17;1802;3670;10.940643;4.740946;5.83501;"";1;"Theft";"Data_Exfiltration"
1529284204.309066;"e";"tcp";"192.168.100.150";"36694";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.051606;36;2.74254;2.74254;0.0;"";"";2.74254;2.74254;2.74254;"";"";"";"";15;17;1868;3670;11.303391;5.104757;5.834008;"";1;"Theft";"Data_Exfiltration"
1529284204.309144;"e";"tcp";"192.168.100.150";"36696";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284207.046403;37;2.737259;2.737259;0.0;"";"";2.737259;2.737259;2.737259;"";"";"";"";14;17;1802;3670;10.959869;4.749277;5.845263;"";1;"Theft";"Data_Exfiltration"
1529284204.309336;"e";"tcp";"192.168.100.150";"36698";"->";"192.168.100.3";"22";33;5604;"FIN";"0.0.0.0";1529284207.049247;38;2.739911;2.739911;0.0;"";"";2.739911;2.739911;2.739911;"";"";"";"";15;18;1868;3736;11.679211;5.109655;6.204581;"";1;"Theft";"Data_Exfiltration"
1529284204.309429;"e";"tcp";"192.168.100.150";"36700";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.048604;39;2.739175;2.739175;0.0;"";"";2.739175;2.739175;2.739175;"";"";"";"";15;17;1868;3670;11.317276;5.111028;5.841175;"";1;"Theft";"Data_Exfiltration"
1529284204.309509;"e";"tcp";"192.168.100.150";"36702";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.050453;40;2.740944;2.740944;0.0;"";"";2.740944;2.740944;2.740944;"";"";"";"";15;17;1868;3670;11.309973;5.107729;5.837405;"";1;"Theft";"Data_Exfiltration"
1529284204.309692;"e";"tcp";"192.168.100.150";"36704";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.514985;41;3.205293;3.205293;0.0;"";"";3.205293;3.205293;3.205293;"";"";"";"";15;17;1868;3670;9.671503;4.367775;4.991744;"";1;"Theft";"Data_Exfiltration"
1529284204.309727;"e";"tcp";"192.168.100.150";"36706";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284204.375462;42;0.065735;0.065735;0.0;"";"";0.065735;0.065735;0.065735;"";"";"";"";3;3;228;206;76.062981;30.425194;30.425194;"";1;"Theft";"Data_Exfiltration"
1529284204.309808;"e";"tcp";"192.168.100.150";"36708";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.513509;43;3.203701;3.203701;0.0;"";"";3.203701;3.203701;3.203701;"";"";"";"";14;18;1802;3736;9.676309;4.057807;5.306363;"";1;"Theft";"Data_Exfiltration"
1529284204.30993;"e";"tcp";"192.168.100.150";"36710";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284204.37582;44;0.06589;0.06589;0.0;"";"";0.06589;0.06589;0.06589;"";"";"";"";3;3;228;206;75.884048;30.353621;30.353621;"";1;"Theft";"Data_Exfiltration"
1529284204.31009;"e";"tcp";"192.168.100.150";"36712";"->";"192.168.100.3";"22";33;5604;"FIN";"0.0.0.0";1529284207.517182;45;3.207092;3.207092;0.0;"";"";3.207092;3.207092;3.207092;"";"";"";"";15;18;1868;3736;9.977886;4.365325;5.300752;"";1;"Theft";"Data_Exfiltration"
1529284204.310241;"e";"tcp";"192.168.100.150";"36714";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284204.376147;46;0.065906;0.065906;0.0;"";"";0.065906;0.065906;0.065906;"";"";"";"";3;3;228;206;75.865623;30.346249;30.346249;"";1;"Theft";"Data_Exfiltration"
1529284204.378741;"e";"tcp";"192.168.100.150";"36716";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.514347;47;3.135606;3.135606;0.0;"";"";3.135606;3.135606;3.135606;"";"";"";"";14;18;1802;3736;9.886446;4.145929;5.421599;"";1;"Theft";"Data_Exfiltration"
1529284204.389998;"e s";"tcp";"192.168.100.150";"36718";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284207.518279;48;3.128281;3.128281;0.0;"";"";3.128281;3.128281;3.128281;"";"";"";"";14;17;1802;3670;9.589931;4.155637;5.11463;"";1;"Theft";"Data_Exfiltration"
1529284204.390041;"e";"tcp";"192.168.100.150";"36720";"->";"192.168.100.3";"22";32;5538;"FIN";"0.0.0.0";1529284207.516444;49;3.126403;3.126403;0.0;"";"";3.126403;3.126403;3.126403;"";"";"";"";14;18;1802;3736;9.915548;4.158133;5.437559;"";1;"Theft";"Data_Exfiltration"
1529284206.781034;"e";"tcp";"192.168.100.150";"36722";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.25891;50;4.477876;4.477876;0.0;"";"";4.477876;4.477876;4.477876;"";"";"";"";15;16;1868;3604;6.699605;3.126482;3.349802;"";1;"Theft";"Data_Exfiltration"
1529284206.791077;"e";"tcp";"192.168.100.150";"36726";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.255673;51;4.464596;4.464596;0.0;"";"";4.464596;4.464596;4.464596;"";"";"";"";15;16;1868;3604;6.719533;3.135782;3.359767;"";1;"Theft";"Data_Exfiltration"
1529284206.791079;"e";"tcp";"192.168.100.150";"36724";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284206.792428;52;0.001349;0.001349;0.0;"";"";0.001349;0.001349;0.001349;"";"";"";"";3;3;228;206;3706.449219;1482.579712;1482.579712;"";1;"Theft";"Data_Exfiltration"
1529284206.791188;"e";"tcp";"192.168.100.150";"36728";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.238452;53;4.447264;4.447264;0.0;"";"";4.447264;4.447264;4.447264;"";"";"";"";15;16;1868;3604;6.74572;3.148003;3.37286;"";1;"Theft";"Data_Exfiltration"
1529284206.791548;"e";"tcp";"192.168.100.150";"36730";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.257559;54;4.466011;4.466011;0.0;"";"";4.466011;4.466011;4.466011;"";"";"";"";15;16;1868;3604;6.717404;3.134789;3.358702;"";1;"Theft";"Data_Exfiltration"
1529284206.791729;"e";"tcp";"192.168.100.150";"36732";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.260747;55;4.469018;4.469018;0.0;"";"";4.469018;4.469018;4.469018;"";"";"";"";15;16;1868;3604;6.712884;3.132679;3.356442;"";1;"Theft";"Data_Exfiltration"
1529284206.801288;"e";"tcp";"192.168.100.150";"36734";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.25499;56;4.453702;4.453702;0.0;"";"";4.453702;4.453702;4.453702;"";"";"";"";15;16;1868;3604;6.73597;3.143452;3.367985;"";1;"Theft";"Data_Exfiltration"
1529284206.801416;"e";"tcp";"192.168.100.150";"36736";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284206.803815;57;0.002399;0.002399;0.0;"";"";0.002399;0.002399;0.002399;"";"";"";"";3;3;228;206;2084.20166;833.680664;833.680664;"";1;"Theft";"Data_Exfiltration"
1529284206.806357;"e";"tcp";"192.168.100.150";"36738";"->";"192.168.100.3";"22";8;554;"RST";"0.0.0.0";1529284206.807647;58;0.00129;0.00129;0.0;"";"";0.00129;0.00129;0.00129;"";"";"";"";4;4;294;260;5426.356445;2325.581299;2325.581299;"";1;"Theft";"Data_Exfiltration"
1529284206.81678;"e";"tcp";"192.168.100.150";"36740";"->";"192.168.100.3";"22";8;554;"RST";"0.0.0.0";1529284206.816998;59;0.000218;0.000218;0.0;"";"";0.000218;0.000218;0.000218;"";"";"";"";4;4;294;260;32110.091797;13761.467773;13761.467773;"";1;"Theft";"Data_Exfiltration"
1529284206.829366;"e";"tcp";"192.168.100.150";"36742";"->";"192.168.100.3";"22";30;5422;"FIN";"0.0.0.0";1529284211.260122;60;4.430756;4.430756;0.0;"";"";4.430756;4.430756;4.430756;"";"";"";"";14;16;1818;3604;6.545158;2.934036;3.385427;"";1;"Theft";"Data_Exfiltration"
1529284206.839423;"e";"tcp";"192.168.100.150";"36744";"->";"192.168.100.3";"22";6;428;"RST";"0.0.0.0";1529284206.8396;61;0.000177;0.000177;0.0;"";"";0.000177;0.000177;0.000177;"";"";"";"";3;3;228;200;28248.587891;11299.435547;11299.435547;"";1;"Theft";"Data_Exfiltration"
1529284206.971516;"e";"tcp";"192.168.100.150";"36746";"->";"192.168.100.3";"22";30;5406;"FIN";"0.0.0.0";1529284211.253574;62;4.282058;4.282058;0.0;"";"";4.282058;4.282058;4.282058;"";"";"";"";14;16;1802;3604;6.772445;3.035923;3.502989;"";1;"Theft";"Data_Exfiltration"
1529284206.981662;"e";"tcp";"192.168.100.150";"36748";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284206.982197;63;0.000535;0.000535;0.0;"";"";0.000535;0.000535;0.000535;"";"";"";"";3;3;228;206;9345.793945;3738.317871;3738.317871;"";1;"Theft";"Data_Exfiltration"
1529284206.981704;"e";"tcp";"192.168.100.150";"36750";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284211.261787;64;4.280083;4.280083;0.0;"";"";4.280083;4.280083;4.280083;"";"";"";"";15;16;1884;3604;7.00921;3.270964;3.504605;"";1;"Theft";"Data_Exfiltration"
1529284206.981823;"e";"tcp";"192.168.100.150";"36752";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284206.982445;65;0.000622;0.000622;0.0;"";"";0.000622;0.000622;0.000622;"";"";"";"";3;3;228;206;8038.584961;3215.434082;3215.434082;"";1;"Theft";"Data_Exfiltration"
1529284206.981889;"e";"tcp";"192.168.100.150";"36754";"->";"192.168.100.3";"22";30;5422;"FIN";"0.0.0.0";1529284211.25953;66;4.277641;4.277641;0.0;"";"";4.277641;4.277641;4.277641;"";"";"";"";14;16;1818;3604;6.779438;3.039058;3.506606;"";1;"Theft";"Data_Exfiltration"
1529284207.02121;"e";"tcp";"192.168.100.150";"36756";"->";"192.168.100.3";"22";8;554;"RST";"0.0.0.0";1529284207.023305;67;0.002095;0.002095;0.0;"";"";0.002095;0.002095;0.002095;"";"";"";"";4;4;294;260;3341.289062;1431.980957;1431.980957;"";1;"Theft";"Data_Exfiltration"
1529284207.033051;"e";"tcp";"192.168.100.150";"36758";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284211.258261;68;4.22521;4.22521;0.0;"";"";4.22521;4.22521;4.22521;"";"";"";"";15;16;1884;3604;7.100238;3.313445;3.550119;"";1;"Theft";"Data_Exfiltration"
1529284207.033052;"e";"tcp";"192.168.100.150";"36760";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284207.03391;69;0.000858;0.000858;0.0;"";"";0.000858;0.000858;0.000858;"";"";"";"";3;3;228;206;5827.505859;2331.002197;2331.002197;"";1;"Theft";"Data_Exfiltration"
1529284207.033345;"e";"tcp";"192.168.100.150";"36764";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.256316;71;4.222971;4.222971;0.0;"";"";4.222971;4.222971;4.222971;"";"";"";"";15;16;1868;3604;7.104003;3.315202;3.552002;"";1;"Theft";"Data_Exfiltration"
1529284207.033566;"e";"tcp";"192.168.100.150";"36766";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284211.256946;72;4.22338;4.22338;0.0;"";"";4.22338;4.22338;4.22338;"";"";"";"";15;16;1884;3604;7.103315;3.31488;3.551658;"";1;"Theft";"Data_Exfiltration"
1529284207.03508;"e";"tcp";"192.168.100.150";"36768";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284207.035496;73;0.000416;0.000416;0.0;"";"";0.000416;0.000416;0.000416;"";"";"";"";3;3;228;206;12019.230469;4807.692383;4807.692383;"";1;"Theft";"Data_Exfiltration"
1529284207.046065;"e";"tcp";"192.168.100.150";"36770";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284211.254343;74;4.208278;4.208278;0.0;"";"";4.208278;4.208278;4.208278;"";"";"";"";15;16;1868;3604;7.128806;3.326776;3.564403;"";1;"Theft";"Data_Exfiltration"
1529283934.808648;"e";"arp";"192.168.100.6";"";"who";"192.168.100.149";"";32;1920;"CON";"0.0.0.0";1529285075.81944;11;1141.010742;0.000167;0.000118;"";"";0.002678;7.6e-05;0.000568;"";"";"";"";16;16;960;960;0.027169;0.013146;0.013146;"";1;"Theft";"Data_Exfiltration"
1529284211.237202;"e";"tcp";"192.168.100.150";"36774";"->";"192.168.100.3";"22";8;554;"RST";"0.0.0.0";1529284211.238374;77;0.001172;0.001172;0.0;"";"";0.001172;0.001172;0.001172;"";"";"";"";4;4;294;260;5972.696289;2559.727051;2559.727051;"";1;"Theft";"Data_Exfiltration"
1529284211.2473;"e";"tcp";"192.168.100.150";"36776";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.249473;78;0.002173;0.002173;0.0;"";"";0.002173;0.002173;0.002173;"";"";"";"";3;3;228;206;2300.966309;920.386536;920.386536;"";1;"Theft";"Data_Exfiltration"
1529284211.24733;"e";"tcp";"192.168.100.150";"36780";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.665054;79;2.417724;2.417724;0.0;"";"";2.417724;2.417724;2.417724;"";"";"";"";15;16;1868;3604;12.408365;5.79057;6.204183;"";1;"Theft";"Data_Exfiltration"
1529284211.247335;"e";"tcp";"192.168.100.150";"36778";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.666484;80;2.419149;2.419149;0.0;"";"";2.419149;2.419149;2.419149;"";"";"";"";15;16;1868;3604;12.401055;5.787159;6.200528;"";1;"Theft";"Data_Exfiltration"
1529284211.247401;"e";"tcp";"192.168.100.150";"36782";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.667171;81;2.41977;2.41977;0.0;"";"";2.41977;2.41977;2.41977;"";"";"";"";15;16;1868;3604;12.397873;5.785674;6.198936;"";1;"Theft";"Data_Exfiltration"
1529284211.247492;"e";"tcp";"192.168.100.150";"36786";"->";"192.168.100.3";"22";30;5406;"FIN";"0.0.0.0";1529284213.646715;82;2.399223;2.399223;0.0;"";"";2.399223;2.399223;2.399223;"";"";"";"";14;16;1802;3604;12.087246;5.418421;6.252024;"";1;"Theft";"Data_Exfiltration"
1529284211.247495;"e";"tcp";"192.168.100.150";"36784";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.66439;83;2.416895;2.416895;0.0;"";"";2.416895;2.416895;2.416895;"";"";"";"";15;16;1868;3604;12.412621;5.792556;6.20631;"";1;"Theft";"Data_Exfiltration"
1529284211.247519;"e";"tcp";"192.168.100.150";"36788";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.250454;84;0.002935;0.002935;0.0;"";"";0.002935;0.002935;0.002935;"";"";"";"";3;3;228;206;1703.577515;681.43103;681.43103;"";1;"Theft";"Data_Exfiltration"
1529284211.247598;"e";"tcp";"192.168.100.150";"36790";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284213.645314;85;2.397716;2.397716;0.0;"";"";2.397716;2.397716;2.397716;"";"";"";"";15;16;1884;3604;12.511907;5.83889;6.255953;"";1;"Theft";"Data_Exfiltration"
1529284211.247599;"e";"tcp";"192.168.100.150";"36792";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.638;86;2.390401;2.390401;0.0;"";"";2.390401;2.390401;2.390401;"";"";"";"";15;16;1868;3604;12.550196;5.856758;6.275098;"";1;"Theft";"Data_Exfiltration"
1529284211.247656;"e";"tcp";"192.168.100.150";"36794";"->";"192.168.100.3";"22";33;5796;"FIN";"0.0.0.0";1529284215.363726;87;4.11607;4.11607;0.0;"";"";4.11607;4.11607;4.11607;"";"";"";"";15;18;1980;3816;7.774406;3.401303;4.130154;"";1;"Theft";"Data_Exfiltration"
1529284211.24773;"e";"tcp";"192.168.100.150";"36796";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.637216;88;2.389486;2.389486;0.0;"";"";2.389486;2.389486;2.389486;"";"";"";"";15;16;1868;3604;12.555001;5.859001;6.277501;"";1;"Theft";"Data_Exfiltration"
1529284211.24781;"e";"tcp";"192.168.100.150";"36798";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.646134;89;2.398324;2.398324;0.0;"";"";2.398324;2.398324;2.398324;"";"";"";"";15;16;1868;3604;12.508736;5.83741;6.254368;"";1;"Theft";"Data_Exfiltration"
1529284211.247902;"e";"tcp";"192.168.100.150";"36800";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.647374;90;2.399472;2.399472;0.0;"";"";2.399472;2.399472;2.399472;"";"";"";"";15;16;1868;3604;12.50275;5.834617;6.251375;"";1;"Theft";"Data_Exfiltration"
1529284211.261155;"e";"tcp";"192.168.100.150";"36802";"->";"192.168.100.3";"22";31;5472;"FIN";"0.0.0.0";1529284213.653237;91;2.392082;2.392082;0.0;"";"";2.392082;2.392082;2.392082;"";"";"";"";15;16;1868;3604;12.541376;5.852642;6.270688;"";1;"Theft";"Data_Exfiltration"
1529284211.262297;"e";"tcp";"192.168.100.150";"36804";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.268066;92;0.005769;0.005769;0.0;"";"";0.005769;0.005769;0.005769;"";"";"";"";3;3;228;206;866.701355;346.680542;346.680542;"";1;"Theft";"Data_Exfiltration"
1529284211.272403;"e";"tcp";"192.168.100.150";"36806";"->";"192.168.100.3";"22";6;434;"RST";"0.0.0.0";1529284211.276616;93;0.004213;0.004213;0.0;"";"";0.004213;0.004213;0.004213;"";"";"";"";3;3;228;206;1186.802734;474.721069;474.721069;"";1;"Theft";"Data_Exfiltration"
1529284211.277826;"e";"tcp";"192.168.100.150";"36808";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284213.667895;94;2.390069;2.390069;0.0;"";"";2.390069;2.390069;2.390069;"";"";"";"";15;16;1884;3604;12.551939;5.857572;6.27597;"";1;"Theft";"Data_Exfiltration"
1529284211.288063;"e";"tcp";"192.168.100.150";"36810";"->";"192.168.100.3";"22";31;5488;"FIN";"0.0.0.0";1529284213.665732;95;2.377669;2.377669;0.0;"";"";2.377669;2.377669;2.377669;"";"";"";"";15;16;1884;3604;12.617399;5.88812;6.3087;"";1;"Theft";"Data_Exfiltration"
1529284212.236307;"e";"tcp";"192.168.100.149";"40279";"->";"192.168.100.6";"135";10;808;"FIN";"0.0.0.0";1529284212.237262;97;0.000955;0.000955;0.0;"";"";0.000955;0.000955;0.000955;"";"";"";"";6;4;476;332;9424.083984;5235.602051;3141.361328;"";1;"Theft";"Data_Exfiltration"
1529284207.257507;"e";"tcp";"192.168.100.150";"36772";"->";"192.168.100.3";"22";34;5846;"FIN";"0.0.0.0";1529284213.385463;75;6.127956;1.997054;1.992679;"";"";3.994108;0.004375;3.989733;"";"";"";"";16;18;2030;3816;5.385156;2.447798;2.774171;"";1;"Theft";"Data_Exfiltration"
